Campus,City,Degree,Email,EnrollmentStatus,EntryTerm,EntryYear,ExpectedGraduateTerm,ExpectedGraduateYear,FirstName,Gender,LastName,LocalAddress,LocalPhone,MiddleName,NeuId,Scholarship,State,VisaType,Zip
SEATTLE,Seattle,MASTERS,William075@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,William,M,Wilson,401 Terry Ave N,2068223799,,075,Yes,WA,F1,98109
BOSTON,Boston,MASTERS,Kimberly076@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Kimberly,F,Allen,360 Huntington Ave,6174131849,,076,No,MA,,02115
SEATTLE,Seattle,MASTERS,Matthew077@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Matthew,M,Hall,401 Terry Ave N,2063445681,,077,No,WA,F1,98109
SEATTLE,Seattle,MASTERS,Ashley078@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Ashley,F,Brown,401 Terry Ave N,2060136759,,078,Yes,WA,F1,98109
SEATTLE,Seattle,MASTERS,James079@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,James,M,White,401 Terry Ave N,2060563757,,079,No,WA,,98109
SEATTLE,Seattle,MASTERS,Patricia080@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Patricia,F,Brown,401 Terry Ave N,2069647924,,080,No,WA,,98109
SEATTLE,Seattle,MASTERS,Linda081@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Linda,F,Allen,401 Terry Ave N,2068571410,,081,No,WA,F1,98109
BOSTON,Boston,MASTERS,Carol082@gmail.com,GRADUATED,SPRING,2014,SUMMER,2016,Carol,F,Ward,360 Huntington Ave,6170323945,,082,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,James083@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,James,M,Taylor,401 Terry Ave N,2061417903,,083,Yes,WA,F1,98109
BOSTON,Boston,MASTERS,Christopher084@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Christopher,M,Jones,360 Huntington Ave,6176518809,,084,No,MA,F1,02115
BOSTON,Boston,MASTERS,Margaret085@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Margaret,F,Taylor,360 Huntington Ave,6174434834,,085,No,MA,F1,02115
BOSTON,Boston,MASTERS,Jennifer086@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,Jennifer,F,Allen,360 Huntington Ave,6179455014,,086,No,MA,F1,02115
BOSTON,Boston,MASTERS,Barbara087@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Barbara,F,Wilson,360 Huntington Ave,6179572191,,087,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Donna088@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Donna,F,Hall,401 Terry Ave N,2069112740,,088,No,WA,,98109
SEATTLE,Seattle,MASTERS,Paul089@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Paul,M,Perry,401 Terry Ave N,2063598160,,089,No,WA,F1,98109
BOSTON,Boston,MASTERS,Michael090@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Michael,M,Jackson,360 Huntington Ave,6176822494,,090,No,MA,F1,02115
BOSTON,Boston,MASTERS,Mary091@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Mary,F,Wood,360 Huntington Ave,6171651867,,091,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Lisa092@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Lisa,F,Smith,401 Terry Ave N,2060646598,,092,No,WA,,98109
SEATTLE,Seattle,MASTERS,Susan093@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Susan,F,Miller,401 Terry Ave N,2065018479,,093,No,WA,F1,98109
SILICON_VALLEY,San Jose,MASTERS,Donald094@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Donald,M,Davis,Front Street,2200791990,,094,Yes,CA,F1,94080
SILICON_VALLEY,San Jose,MASTERS,Sandra095@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Sandra,F,Wilson,Front Street,2206579873,,095,No,CA,F1,94080
BOSTON,Boston,MASTERS,Christopher096@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Christopher,M,Smith,360 Huntington Ave,6176367412,,096,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Christopher097@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Christopher,M,Taylor,Front Street,2206348033,,097,No,CA,F1,94080
BOSTON,Boston,MASTERS,Lisa098@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Lisa,F,Perry,360 Huntington Ave,6175445781,,098,No,MA,F1,02115
SILICON_VALLEY,San Jose,MASTERS,Lisa099@gmail.com,GRADUATED,SPRING,2014,SUMMER,2016,Lisa,F,Jackson,Front Street,2209807630,,099,No,CA,,94080
SEATTLE,Seattle,MASTERS,Matthew100@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Matthew,M,Davis,401 Terry Ave N,2064039805,,100,No,WA,F1,98109
SILICON_VALLEY,San Jose,MASTERS,Karen101@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Karen,F,Wilson,Front Street,2202732080,,101,No,CA,,94080
SEATTLE,Seattle,MASTERS,Donna102@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Donna,F,Lee,401 Terry Ave N,2066468101,,102,No,WA,,98109
BOSTON,Boston,MASTERS,Robert103@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Robert,M,Wilson,360 Huntington Ave,6175260990,,103,No,MA,,02115
SEATTLE,Seattle,MASTERS,Donna104@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Donna,F,Wood,401 Terry Ave N,2067323242,,104,No,WA,,98109
CHARLOTTE,Charlotte,MASTERS,James105@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,James,M,Lopez,101 N Tryon St,9806578727,,105,No,NC,,28246
CHARLOTTE,Charlotte,MASTERS,Mary106@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Mary,F,Wood,101 N Tryon St,9806187968,,106,No,NC,,28246
BOSTON,Boston,MASTERS,Paul107@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Paul,M,Perry,360 Huntington Ave,6171929895,,107,No,MA,F1,02115
BOSTON,Boston,MASTERS,Patricia108@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Patricia,F,Wood,360 Huntington Ave,6171649059,,108,No,MA,,02115
BOSTON,Boston,MASTERS,Donald109@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Donald,M,Lopez,360 Huntington Ave,6172693485,,109,No,MA,,02115
BOSTON,Boston,MASTERS,Lisa110@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Lisa,F,Carter,360 Huntington Ave,6176943164,,110,No,MA,,02115
SEATTLE,Seattle,MASTERS,Richard111@gmail.com,PART_TIME,FALL,2017,SUMMER,2019,Richard,M,Smith,401 Terry Ave N,2063964819,,111,No,WA,,98109
BOSTON,Boston,MASTERS,Thomas112@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Thomas,M,Johnson,360 Huntington Ave,6170014157,,112,No,MA,,02115
BOSTON,Boston,MASTERS,Nancy113@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Nancy,F,Gray,360 Huntington Ave,6172539722,,113,No,MA,F1,02115
CHARLOTTE,Charlotte,MASTERS,Mary114@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Mary,F,Smith,101 N Tryon St,9808693195,,114,No,NC,,28246
BOSTON,Boston,MASTERS,Carol115@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Carol,F,Taylor,360 Huntington Ave,6170430082,,115,No,MA,,02115
SEATTLE,Seattle,MASTERS,Mark116@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Mark,M,Jackson,401 Terry Ave N,2066765437,,116,Yes,WA,F1,98109
BOSTON,Boston,MASTERS,Dorothy117@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Dorothy,F,Carter,360 Huntington Ave,6178208638,,117,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Dorothy118@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Dorothy,F,Wilson,401 Terry Ave N,2068090781,,118,No,WA,,98109
SILICON_VALLEY,San Jose,MASTERS,Sarah119@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Sarah,F,Jones,Front Street,2204421451,,119,No,CA,,94080
BOSTON,Boston,MASTERS,Donald120@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Donald,M,Gray,360 Huntington Ave,6174473943,,120,No,MA,F1,02115
BOSTON,Boston,MASTERS,Jessica121@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Jessica,F,Wilson,360 Huntington Ave,6176606833,,121,No,MA,,02115
SEATTLE,Seattle,MASTERS,William122@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,William,M,Brown,401 Terry Ave N,2061379825,,122,No,WA,,98109
SEATTLE,Seattle,MASTERS,Margaret123@gmail.com,PART_TIME,FALL,2018,SUMMER,2020,Margaret,F,Jones,401 Terry Ave N,2064873291,,123,No,WA,F1,98109
BOSTON,Boston,MASTERS,Anthony124@gmail.com,FULL_TIME,SPRING,2017,SUMMER,2019,Anthony,M,Allen,360 Huntington Ave,6173437544,,124,No,MA,F1,02115
CHARLOTTE,Charlotte,MASTERS,Kimberly125@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,Kimberly,F,Wilson,101 N Tryon St,9805666613,,125,No,NC,,28246
BOSTON,Boston,MASTERS,Christopher126@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Christopher,M,Miller,360 Huntington Ave,6179814342,,126,No,MA,,02115
BOSTON,Boston,MASTERS,Paul127@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Paul,M,Wilson,360 Huntington Ave,6172454588,,127,No,MA,,02115
CHARLOTTE,Charlotte,MASTERS,Joseph128@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Joseph,M,Wilson,101 N Tryon St,9805373491,,128,No,NC,,28246
SEATTLE,Seattle,MASTERS,John129@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,John,M,Lee,401 Terry Ave N,2061312664,,129,No,WA,,98109
BOSTON,Boston,MASTERS,Linda130@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Linda,F,Johnson,360 Huntington Ave,6173506285,,130,No,MA,,02115
CHARLOTTE,Charlotte,MASTERS,Matthew131@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Matthew,M,Allen,101 N Tryon St,9805123435,,131,No,NC,,28246
BOSTON,Boston,MASTERS,Thomas132@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Thomas,M,Brown,360 Huntington Ave,6178524201,,132,No,MA,F1,02115
SILICON_VALLEY,San Jose,MASTERS,Susan133@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,Susan,F,Miller,Front Street,2207195739,,133,Yes,CA,F1,94080
BOSTON,Boston,MASTERS,Jennifer134@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Jennifer,F,White,360 Huntington Ave,6177691103,,134,No,MA,,02115
SILICON_VALLEY,San Jose,MASTERS,Charles135@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Charles,M,Lee,Front Street,2204040771,,135,No,CA,,94080
SEATTLE,Seattle,MASTERS,Andrew136@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Andrew,M,Jones,401 Terry Ave N,2061014347,,136,No,WA,,98109
BOSTON,Boston,MASTERS,Jennifer137@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Jennifer,F,Lee,360 Huntington Ave,6171751561,,137,No,MA,,02115
SEATTLE,Seattle,MASTERS,Sarah138@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,Sarah,F,Brown,401 Terry Ave N,2068189031,,138,No,WA,,98109
BOSTON,Boston,MASTERS,William139@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,William,M,Johnson,360 Huntington Ave,6175558707,,139,No,MA,,02115
CHARLOTTE,Charlotte,MASTERS,James140@gmail.com,FULL_TIME,FALL,2018,SUMMER,2020,James,M,Jackson,101 N Tryon St,9805163700,,140,No,NC,,28246
SEATTLE,Seattle,MASTERS,Robert141@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Robert,M,Williams,401 Terry Ave N,2061105658,,141,No,WA,,98109
SILICON_VALLEY,San Jose,MASTERS,Susan142@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Susan,F,Carter,Front Street,2201608534,,142,No,CA,,94080
SEATTLE,Seattle,MASTERS,Kenneth143@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Kenneth,M,Jones,401 Terry Ave N,2069141085,,143,Yes,WA,F1,98109
SEATTLE,Seattle,MASTERS,Carol144@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Carol,F,Wood,401 Terry Ave N,2064244891,,144,No,WA,F1,98109
BOSTON,Boston,MASTERS,Linda145@gmail.com,FULL_TIME,SPRING,2018,SUMMER,2020,Linda,F,Carter,360 Huntington Ave,6174508155,,145,Yes,MA,F1,02115
SILICON_VALLEY,San Jose,MASTERS,Linda146@gmail.com,GRADUATED,FALL,2015,SUMMER,2017,Linda,F,Smith,Front Street,2201118199,,146,No,CA,F1,94080
SEATTLE,Seattle,MASTERS,Betty147@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Betty,F,Jackson,401 Terry Ave N,2061000810,,147,No,WA,,98109
CHARLOTTE,Charlotte,MASTERS,Mary148@gmail.com,FULL_TIME,FALL,2017,SUMMER,2019,Mary,F,Wilson,101 N Tryon St,9801977705,,148,No,NC,,28246
BOSTON,Boston,MASTERS,Lisa149@gmail.com,FULL_TIME,FALL,2016,SUMMER,2018,Lisa,F,Jones,360 Huntington Ave,6175133095,,149,No,MA,F1,02115
SEATTLE,Seattle,MASTERS,Mary150@gmail.com,GRADUATED,FALL,2014,SUMMER,2016,Mary,F,Jones,401 Terry Ave N,2064621901,,150,No,WA,,98109
